ds,layer,dataset,method,k,acc,std,f1,n
0,L0,Task ID (4-way),Full LogReg,1024,0.99915611814346,0.0016877637130801482,0.9981329839502129,1185
0,L0,Task ID (4-way),Full Ridge,1024,1.0,0.0,,1185
0,L0,Task ID (4-way),PCA,5,0.3679324894514767,0.026471539479085437,0.209126115330963,1185
0,L0,Task ID (4-way),PCA,10,0.38734177215189874,0.02407652762478836,0.22052937926313568,1185
0,L0,Task ID (4-way),PCA,20,0.39156118143459917,0.026471539479085437,0.223462589124129,1185
0,L0,Task ID (4-way),PCA,50,0.9822784810126584,0.009768638736531844,0.9820867840747731,1185
0,L0,Task ID (4-way),PCA,100,1.0,0.0,1.0,1185
0,L0,Task ID (4-way),Random,5,0.4151898734177215,0.0057234852178271916,,1185
0,L0,Task ID (4-way),Random,10,0.4118143459915612,0.013617649116586878,,1185
0,L0,Task ID (4-way),Random,20,0.4280168776371308,0.017656299518139462,,1185
0,L0,Task ID (4-way),Random,50,0.8300421940928271,0.016755677496696597,,1185
0,L0,Task ID (4-way),Random,100,0.9569620253164557,0.0055208193194249255,,1185
0,L0,Task ID (4-way),Conceptor,5,0.3594936708860759,0.0237789076854099,0.20521230938717175,1185
0,L0,Task ID (4-way),Conceptor,10,0.4227848101265822,0.05412697961459773,0.2512686732341081,1185
0,L0,Task ID (4-way),Conceptor,20,0.4928270042194093,0.04516147902197353,0.29244352750151503,1185
0,L0,Task ID (4-way),Conceptor,50,0.9485232067510548,0.018372608486985013,0.9347813586651155,1185
0,L0,Task ID (4-way),Conceptor,100,0.9983122362869199,0.002067079951715737,0.9971525155041775,1185
0,L0,Task ID (4-way),ConceptorEnergy(α=0.1),4,0.4978902953586498,0.014120844329689054,,1185
0,L0,Task ID (4-way),ConceptorEnergy(α=1.0),4,0.43291139240506327,0.008268319806863036,,1185
0,L0,Success/Fail (all),Full LogReg,1024,0.9392405063291139,0.022422498321664833,0.9309428971436933,1185
0,L0,Success/Fail (all),Full Ridge,1024,0.9662447257383967,0.011002873257726016,,1185
0,L0,Success/Fail (all),PCA,5,0.6708860759493671,0.0,0.4015151515151515,1185
0,L0,Success/Fail (all),PCA,10,0.6717299578059072,0.0016877637130801482,0.4042500958956655,1185
0,L0,Success/Fail (all),PCA,20,0.6616033755274262,0.010472298435435325,0.40720764050028785,1185
0,L0,Success/Fail (all),PCA,50,0.8987341772151899,0.02836748744974112,0.8831872959723552,1185
0,L0,Success/Fail (all),PCA,100,0.9240506329113923,0.02248592842949236,0.9135121872508793,1185
0,L0,Success/Fail (all),Random,5,0.6697046413502109,0.001263006712835117,,1185
0,L0,Success/Fail (all),Random,10,0.670548523206751,0.0013711457223014188,,1185
0,L0,Success/Fail (all),Random,20,0.6634599156118143,0.0066103480261826735,,1185
0,L0,Success/Fail (all),Random,50,0.8361181434599155,0.01574603043333752,,1185
0,L0,Success/Fail (all),Random,100,0.8975527426160337,0.0016536639613726277,,1185
0,L0,Success/Fail (all),Conceptor,5,0.6632911392405063,0.0031575167820877114,0.4123618185072154,1185
0,L0,Success/Fail (all),Conceptor,10,0.6624472573839661,0.007547908784809436,0.4388291359745848,1185
0,L0,Success/Fail (all),Conceptor,20,0.6683544303797467,0.011195357942127943,0.46118158548533683,1185
0,L0,Success/Fail (all),Conceptor,50,0.8827004219409282,0.02606488643287847,0.8651108971053583,1185
0,L0,Success/Fail (all),Conceptor,100,0.9181434599156117,0.021448548569010687,0.9071886587073769,1185
0,L0,Success/Fail (all),ConceptorEnergy(α=0.1),4,0.6717299578059073,0.014953624596345463,,1185
0,L0,Success/Fail (all),ConceptorEnergy(α=1.0),4,0.6708860759493671,0.0,,1185
0,L0,Asm Succ/Fail,Full LogReg,1024,0.888888888888889,0.029814239699997202,0.8228755353514572,450
0,L0,Asm Succ/Fail,Full Ridge,1024,0.9355555555555556,0.019116278371205834,,450
0,L0,Asm Succ/Fail,PCA,5,0.8,0.0,0.4444444444444445,450
0,L0,Asm Succ/Fail,PCA,10,0.7977777777777778,0.004444444444444473,0.4437543133195307,450
0,L0,Asm Succ/Fail,PCA,20,0.7933333333333333,0.005443310539518209,0.4611247835201896,450
0,L0,Asm Succ/Fail,PCA,50,0.8400000000000001,0.03340732528527312,0.7422692962459655,450
0,L0,Asm Succ/Fail,PCA,100,0.9,0.012171612389003729,0.8354815498532945,450
0,L0,Asm Succ/Fail,Random,5,0.8,0.0,,450
0,L0,Asm Succ/Fail,Random,10,0.7995555555555555,0.0008888888888888946,,450
0,L0,Asm Succ/Fail,Random,20,0.796,0.0035555555555555783,,450
0,L0,Asm Succ/Fail,Random,50,0.8231111111111111,0.006681465057054589,,450
0,L0,Asm Succ/Fail,Random,100,0.863111111111111,0.0022662308949300933,,450
0,L0,Asm Succ/Fail,Conceptor,5,0.7977777777777778,0.021545243810739217,0.49275447515215626,450
0,L0,Asm Succ/Fail,Conceptor,10,0.7866666666666667,0.02266230894930126,0.48692045077671775,450
0,L0,Asm Succ/Fail,Conceptor,20,0.788888888888889,0.026293687924887173,0.5122795296781618,450
0,L0,Asm Succ/Fail,Conceptor,50,0.8355555555555556,0.032508308529617315,0.7461754370107966,450
0,L0,Asm Succ/Fail,Conceptor,100,0.8800000000000001,0.019116278371205834,0.8091271076881472,450
0,L0,Asm Succ/Fail,ConceptorEnergy(α=0.1),4,0.8,0.0,,450
0,L0,Asm Succ/Fail,ConceptorEnergy(α=1.0),4,0.8,0.0,,450
0,L5,Task ID (4-way),Full LogReg,1024,1.0,0.0,1.0,1185
0,L5,Task ID (4-way),Full Ridge,1024,1.0,0.0,,1185
0,L5,Task ID (4-way),PCA,5,0.38649789029535864,0.024399716953250564,0.2196800541860114,1185
0,L5,Task ID (4-way),PCA,10,0.39915611814345986,0.025260134256701722,0.22738759111959572,1185
0,L5,Task ID (4-way),PCA,20,0.40675105485232066,0.0385424042081662,0.23273239696069234,1185
0,L5,Task ID (4-way),PCA,50,1.0,0.0,1.0,1185
0,L5,Task ID (4-way),PCA,100,1.0,0.0,1.0,1185
0,L5,Task ID (4-way),Random,5,0.45232067510548524,0.02580126512931372,,1185
0,L5,Task ID (4-way),Random,10,0.48050632911392405,0.037033243528538165,,1185
0,L5,Task ID (4-way),Random,20,0.5756962025316457,0.027755375609345764,,1185
0,L5,Task ID (4-way),Random,50,0.9765400843881856,0.009157576348523535,,1185
0,L5,Task ID (4-way),Random,100,0.999493670886076,0.00041341599034313653,,1185
0,L5,Task ID (4-way),Conceptor,5,0.4109704641350211,0.03153002817260658,0.2367561705044062,1185
0,L5,Task ID (4-way),Conceptor,10,0.5333333333333334,0.029061899337928368,0.3563747456964012,1185
0,L5,Task ID (4-way),Conceptor,20,0.7333333333333334,0.014221349828145768,0.5497075787791618,1185
0,L5,Task ID (4-way),Conceptor,50,0.99915611814346,0.0016877637130801482,0.9990195315539647,1185
0,L5,Task ID (4-way),Conceptor,100,1.0,0.0,1.0,1185
0,L5,Task ID (4-way),ConceptorEnergy(α=0.1),4,0.5122362869198313,0.03061326100796126,,1185
0,L5,Task ID (4-way),ConceptorEnergy(α=1.0),4,0.6345991561181434,0.03002607067452689,,1185
0,L5,Success/Fail (all),Full LogReg,1024,0.9645569620253165,0.01898265296067845,0.9600414356426548,1185
0,L5,Success/Fail (all),Full Ridge,1024,0.9822784810126581,0.014221349828145775,,1185
0,L5,Success/Fail (all),PCA,5,0.670042194092827,0.0016877637130801927,0.4012121212121212,1185
0,L5,Success/Fail (all),PCA,10,0.670042194092827,0.0016877637130801927,0.4012121212121212,1185
0,L5,Success/Fail (all),PCA,20,0.6683544303797468,0.008688295477626163,0.44246749389156576,1185
0,L5,Success/Fail (all),PCA,50,0.9147679324894515,0.02778409727114653,0.9027629869328109,1185
0,L5,Success/Fail (all),PCA,100,0.9561181434599156,0.020428216771156447,0.9503260416377076,1185
0,L5,Success/Fail (all),Random,5,0.6686919831223629,0.002362869198312253,,1185
0,L5,Success/Fail (all),Random,10,0.6808438818565401,0.010285670200973903,,1185
0,L5,Success/Fail (all),Random,20,0.7024472573839663,0.012201025871343694,,1185
0,L5,Success/Fail (all),Random,50,0.909367088607595,0.009051198432264646,,1185
0,L5,Success/Fail (all),Random,100,0.9262447257383967,0.004791584663823898,,1185
0,L5,Success/Fail (all),Conceptor,5,0.668354430379747,0.011814345991561188,0.43031970381737733,1185
0,L5,Success/Fail (all),Conceptor,10,0.6742616033755275,0.007259346216913601,0.49923355014509185,1185
0,L5,Success/Fail (all),Conceptor,20,0.7308016877637131,0.008605940107329601,0.6281884995326542,1185
0,L5,Success/Fail (all),Conceptor,50,0.940928270042194,0.022005746515451993,0.9327559205579219,1185
0,L5,Success/Fail (all),Conceptor,100,0.9561181434599156,0.021448548569010687,0.9503766927969112,1185
0,L5,Success/Fail (all),ConceptorEnergy(α=0.1),4,0.7029535864978903,0.026765825362284727,,1185
0,L5,Success/Fail (all),ConceptorEnergy(α=1.0),4,0.6742616033755274,0.01263006712835087,,1185
