condition,success_rate,reward_mean,reward_std,intervention_norm,kl_divergence,action_magnitude,fisher_p,mannwhitney_p,ci_low,ci_high
baseline,1.0,741.625469614406,70.85846311362761,,,1.6270134449005127,,,,
strategy3_a0.1_b0.1,1.0,619.1891707000096,70.84209504198694,602.2,0.329255313033727,1.643249750137329,1.0,5.737063008488556e-05,0.0,0.0
strategy5_a0.1_b0.1,1.0,1061.8955364606584,161.92937583728386,595.564705882353,0.34081715919421884,1.5982396602630615,1.0,0.0003078634611799441,0.0,0.0
posonly_global_a0.1_b0.1,1.0,1027.083625620739,130.68794577864026,71.86176470588235,0.1534657668580474,1.5988889932632446,1.0,4.8063230506309336e-05,0.0,0.0
posonly_perstep_a0.1_b0.1,1.0,663.3651414591735,52.14263736624969,71.47692307692307,0.1340313575908671,1.6298458576202393,1.0,0.0002228932910846752,0.0,0.0
strategy3_a0.1_b0.3,0.8666666666666667,2077.102150761539,424.57868444483694,1798.3733333333332,0.44268605704081043,1.6961820125579834,0.4827586206896552,3.3918213908250945e-06,-0.2666666666666667,0.0
strategy5_a0.1_b0.3,0.8666666666666667,2245.4303737793334,309.23595237892795,1797.2,0.44924062971286627,1.6616648435592651,0.4827586206896552,3.3918213908250945e-06,-0.33333333333333337,0.0
posonly_global_a0.1_b0.3,0.9333333333333333,2298.553034682916,300.54443168552945,212.64,0.3194954966280855,1.5648417472839355,1.0,3.3918213908250945e-06,-0.19999999999999996,0.0
posonly_perstep_a0.1_b0.3,0.8666666666666667,2083.6724234107096,394.5725452222757,209.32333333333332,0.8906823696109682,1.6037249565124512,0.4827586206896552,3.3918213908250945e-06,-0.33333333333333337,0.0
strategy3_a0.1_b0.5,0.7333333333333333,1805.933347354685,482.86511989302085,3032.0,0.8237209497004312,1.787406086921692,0.09961685823754789,3.3918213908250945e-06,-0.46833333333333327,-0.06666666666666665
strategy5_a0.1_b0.5,0.9333333333333333,1887.002406545981,446.4318611491399,3015.2,0.5409767269792127,1.7737263441085815,1.0,3.3918213908250945e-06,-0.19999999999999996,0.0
posonly_global_a0.1_b0.5,0.8666666666666667,2049.7052811902718,459.316090286569,367.4,0.5388526479887344,1.5998204946517944,0.4827586206896552,3.3918213908250945e-06,-0.33333333333333337,0.0
posonly_perstep_a0.1_b0.5,1.0,738.9005698767858,91.36393589196905,366.3692307692308,1.1334470454634442,1.6413099765777588,1.0,0.5897385933186072,0.0,0.0
strategy3_a0.5_b0.1,0.9333333333333333,2192.0274249906993,416.842352315147,621.9,0.29406732506711475,1.595477819442749,1.0,3.3918213908250945e-06,-0.19999999999999996,0.0
strategy5_a0.5_b0.1,0.9333333333333333,2096.6153536010834,459.0433963002578,621.9266666666666,0.31425475662707325,1.6170734167099,1.0,3.3918213908250945e-06,-0.19999999999999996,0.0
posonly_global_a0.5_b0.1,0.9333333333333333,2193.701077800143,500.79829281627644,30.107083333333332,0.09088642199810498,1.5638008117675781,1.0,3.3918213908250945e-06,-0.19999999999999996,0.0
posonly_perstep_a0.5_b0.1,0.8666666666666667,2207.638654786159,347.88374061815875,26.222083333333334,0.1832652040496402,1.5747337341308594,0.4827586206896552,3.3918213908250945e-06,-0.33333333333333337,0.0
strategy3_a0.5_b0.3,0.8666666666666667,2107.901272963361,576.9056810284403,1885.2533333333333,0.27071102658156987,1.6996506452560425,0.4827586206896552,3.3918213908250945e-06,-0.33333333333333337,0.0
strategy5_a0.5_b0.3,0.9333333333333333,2083.98165582793,478.73205165720844,1885.28,0.5129709217721099,1.7101300954818726,1.0,7.477207640048691e-06,-0.19999999999999996,0.0
posonly_global_a0.5_b0.3,1.0,1112.8682911436997,202.55104076146404,91.72222222222223,0.17029883552406955,1.607738733291626,1.0,4.8063230506309336e-05,0.0,0.0
posonly_perstep_a0.5_b0.3,0.9333333333333333,2257.088754307013,410.68129734655986,76.08083333333333,0.2395641640518445,1.5542852878570557,1.0,3.3918213908250945e-06,-0.19999999999999996,0.0
strategy3_a0.5_b0.5,0.7333333333333333,1744.4852347967749,552.3154211623846,3199.2,1.1718236218295353,1.8113270998001099,0.09961685823754789,0.00042246757669391977,-0.4666666666666667,-0.06666666666666665
strategy5_a0.5_b0.5,0.8666666666666667,1930.3683227253462,426.29783849495243,3199.306666666667,1.3515737407726958,1.7993875741958618,0.4827586206896552,3.3918213908250945e-06,-0.33333333333333337,0.0
posonly_global_a0.5_b0.5,0.9333333333333333,2080.6702182982403,407.77561562004854,151.90666666666667,0.3171368110443661,1.6085612773895264,1.0,3.3918213908250945e-06,-0.19999999999999996,0.0
posonly_perstep_a0.5_b0.5,0.9333333333333333,2238.9484468601336,368.19023418759815,128.09333333333333,0.3510730404606833,1.5592823028564453,1.0,3.3918213908250945e-06,-0.19999999999999996,0.0
strategy3_a1.0_b0.1,1.0,796.9489539753213,111.72752409003833,626.1428571428571,0.2907601621227946,1.6414945125579834,1.0,0.02253107159485839,0.0,0.0
strategy5_a1.0_b0.1,0.9333333333333333,2129.5134632064896,449.1887308654193,622.86,0.30545311741530956,1.6054942607879639,1.0,3.3918213908250945e-06,-0.19999999999999996,0.0
posonly_global_a1.0_b0.1,0.8,1964.1989731923702,500.1232538744693,22.017916666666668,0.22337173158775842,1.6020379066467285,0.22413793103448276,3.3918213908250945e-06,-0.4,0.0
posonly_perstep_a1.0_b0.1,0.9333333333333333,2305.069041134095,323.51025251405565,18.404375,0.19186854589390553,1.5501511096954346,1.0,3.3918213908250945e-06,-0.19999999999999996,0.0
strategy3_a1.0_b0.3,1.0,1138.5191245601814,145.6824201793929,1890.1333333333334,0.4893048509204504,1.7123669385910034,1.0,5.052703540469845e-06,0.0,0.0
strategy5_a1.0_b0.3,0.8666666666666667,1948.760233836246,447.8680222087892,1889.8133333333333,0.3006840788060174,1.710144281387329,0.4827586206896552,3.3918213908250945e-06,-0.33333333333333337,0.0
posonly_global_a1.0_b0.3,0.9333333333333333,2229.150968535853,439.8868846807971,61.19166666666667,0.12762488435939362,1.5660794973373413,1.0,3.3918213908250945e-06,-0.19999999999999996,0.0
posonly_perstep_a1.0_b0.3,0.8666666666666667,1896.284347184684,504.1991357106704,58.5025,0.2918305200532689,1.6040656566619873,0.4827586206896552,3.3918213908250945e-06,-0.33333333333333337,0.0
strategy3_a1.0_b0.5,0.8,1641.5313449281437,572.9531150301025,3209.92,1.2447027067366974,1.8069769144058228,0.22413793103448276,0.00018919298065443355,-0.4,0.0
strategy5_a1.0_b0.5,0.8666666666666667,1697.960752058961,548.8495745629149,3203.2533333333336,1.4249584823286772,1.8006126880645752,0.4827586206896552,0.0005759812107616887,-0.33333333333333337,0.0
posonly_global_a1.0_b0.5,0.8666666666666667,2154.715999170399,463.3494190058322,101.98833333333333,0.1755996546474319,1.5724642276763916,0.4827586206896552,3.3918213908250945e-06,-0.33333333333333337,0.0
posonly_perstep_a1.0_b0.5,1.0,857.1541500091259,85.2355642750412,91.34333333333333,0.19259372138357006,1.6111854314804077,1.0,0.0004936885181146133,0.0,0.0
