condition,success_rate,reward_mean,reward_std,intervention_norm,kl_divergence,action_magnitude,fisher_p,mannwhitney_p,ci_low,ci_high
baseline,0.26666666666666666,261.3655007830909,119.04739872121748,,,1.3255738019943237,,,,
strategy3_a0.1_b0.1,0.6,337.4666877543869,181.28149739775702,581.7466666666667,0.4249541457498092,1.3533960580825806,0.13941976380230936,0.2997583700887151,0.0,0.6666666666666666
strategy5_a0.1_b0.1,0.6,301.3760586473702,116.08521564814983,577.36,0.47397665819153423,1.3515739440917969,0.13941976380230936,0.4553018964198552,0.0,0.6666666666666667
posonly_global_a0.1_b0.1,0.6,292.22752299433614,160.43383405389736,64.85583333333334,0.07376617577300437,1.3250980377197266,0.13941976380230936,0.6783024655972324,0.0,0.6666666666666666
posonly_perstep_a0.1_b0.1,0.5333333333333333,285.0156190385994,125.32618605219474,64.12583333333333,0.09093031821796259,1.3299803733825684,0.26354191325389936,0.4553018964198552,-0.06666666666666665,0.6000000000000001
strategy3_a0.1_b0.3,0.4,245.76101938215,103.5039002092038,1758.24,0.6946117808850676,1.4310139417648315,0.6998500749625187,0.7089232340537643,-0.2,0.4666666666666667
strategy5_a0.1_b0.3,0.6666666666666666,360.9357351740434,225.06451676226666,1751.6,0.6331728865342393,1.42240571975708,0.06559547883437022,0.43064798984807773,0.06666666666666665,0.7333333333333334
posonly_global_a0.1_b0.3,0.6,262.19043561603877,141.60106212390505,199.07666666666665,0.17080141693607478,1.3242827653884888,0.13941976380230936,0.8357050269952793,0.0,0.6666666666666666
posonly_perstep_a0.1_b0.3,0.6,265.3987567175334,140.36317715530149,191.82666666666665,0.5722677058309976,1.327877402305603,0.13941976380230936,0.8682259903524354,0.0,0.6666666666666666
strategy3_a0.1_b0.5,0.4,231.12891777153357,102.73374556883394,2964.16,2.03234520374638,1.6087965965270996,0.6998500749625187,0.28084201086629845,-0.2,0.4666666666666667
strategy5_a0.1_b0.5,0.2,203.62811789074445,111.3621698883309,2955.6266666666666,1.273052263057083,1.5531774759292603,1.0,0.11498741920155964,-0.33333333333333337,0.2
posonly_global_a0.1_b0.5,0.4666666666666667,268.4731776463275,153.06647357726436,340.02666666666664,0.28012611060408676,1.3179168701171875,0.44972513743128434,1.0,-0.1333333333333333,0.5333333333333333
posonly_perstep_a0.1_b0.5,0.2,236.80719896737176,136.04306966406318,341.64666666666665,1.409909005054753,1.3400592803955078,1.0,0.48073111045562256,-0.4,0.20166666666666516
strategy3_a0.5_b0.1,0.4,295.46249264370323,162.2409963365997,607.0666666666667,0.42534742003187975,1.3783396482467651,0.6998500749625187,0.48073111045562256,-0.2,0.4666666666666667
strategy5_a0.5_b0.1,0.6666666666666666,296.08731494274815,163.534149662678,604.9133333333333,0.444131095722225,1.3552062511444092,0.06559547883437022,0.9669147771731937,0.06666666666666665,0.7333333333333334
posonly_global_a0.5_b0.1,0.5333333333333333,279.64522520994495,144.51652800207185,28.919166666666666,0.0495788469461918,1.33189058303833,0.26354191325389936,0.9669147771731937,-0.06666666666666665,0.6
posonly_perstep_a0.5_b0.1,0.4666666666666667,259.06092778164054,126.18816504584628,27.456666666666667,0.03831358385676776,1.3211153745651245,0.44972513743128434,0.9669147771731937,-0.13333333333333336,0.5333333333333333
strategy3_a0.5_b0.3,0.3333333333333333,238.6426966633004,103.22049813208658,1843.1466666666668,0.8018685436496302,1.4619954824447632,1.0,0.43064798984807773,-0.26666666666666666,0.4
strategy5_a0.5_b0.3,0.2,273.10747346976854,205.2173011443163,1848.6666666666667,0.8589648972841524,1.4578386545181274,1.0,0.6783024655972324,-0.33333333333333337,0.2
posonly_global_a0.5_b0.3,0.5333333333333333,265.56061834698335,125.33276316150089,84.52333333333333,0.062097623421943006,1.3201656341552734,0.26354191325389936,0.9009714934164412,-0.06666666666666665,0.6
posonly_perstep_a0.5_b0.3,0.7333333333333333,306.954285102591,141.89027202774972,68.7225,0.13937742383655333,1.328938603401184,0.026837729226202166,0.3195059648919748,0.1333333333333333,0.7333333333333334
strategy3_a0.5_b0.5,0.26666666666666666,234.64707877022497,120.97511656655257,3140.1066666666666,2.5284733385299734,1.66362464427948,1.0,0.5338294217441396,-0.3333333333333333,0.3333333333333333
strategy5_a0.5_b0.5,0.2,202.95299650865022,90.0070304706666,3139.4666666666667,2.484776622346513,1.6554605960845947,1.0,0.1844100692216365,-0.33333333333333337,0.26666666666666666
posonly_global_a0.5_b0.5,0.6,271.1890186389697,143.37806871096498,139.74,0.08689235630116408,1.319251537322998,0.13941976380230936,0.9009714934164412,0.0,0.6666666666666667
posonly_perstep_a0.5_b0.5,0.6,310.9893150345032,165.46941154403996,125.17166666666667,0.21856122477509454,1.3261278867721558,0.13941976380230936,0.43064798984807773,0.0,0.6666666666666667
strategy3_a1.0_b0.1,0.4666666666666667,267.4934023940617,139.23412351472277,606.0733333333334,0.4225628023882728,1.351828932762146,0.44972513743128434,0.9009714934164412,-0.13333333333333336,0.5333333333333333
strategy5_a1.0_b0.1,0.6,291.7989268404891,141.0902416383998,607.0866666666667,0.42536320495337443,1.3621795177459717,0.13941976380230936,0.6783024655972324,0.0,0.6666666666666667
posonly_global_a1.0_b0.1,0.6666666666666666,309.27648527913766,145.31308188405208,20.0925,0.057982594801742116,1.3248142004013062,0.06559547883437022,0.3400858902842717,0.06666666666666665,0.7333333333333334
posonly_perstep_a1.0_b0.1,0.6666666666666666,280.8061937134144,142.22725855440788,18.191666666666666,0.06276773258497322,1.327514410018921,0.06559547883437022,0.6783024655972324,0.06666666666666665,0.7333333333333334
strategy3_a1.0_b0.3,0.2,250.16080564448242,159.37810503376855,1846.88,0.9268533039713802,1.458107590675354,1.0,0.6783024655972324,-0.33333333333333337,0.26666666666666666
strategy5_a1.0_b0.3,0.4666666666666667,321.8518403519592,155.65914266992078,1846.4266666666667,0.9025544521541076,1.4631112813949585,0.44972513743128434,0.3614963660708982,-0.13333333333333336,0.5333333333333333
posonly_global_a1.0_b0.3,0.5333333333333333,260.32625572437775,121.03414969310727,61.3175,0.06454143185911798,1.316940188407898,0.26354191325389936,0.8357050269952793,-0.06666666666666665,0.6
posonly_perstep_a1.0_b0.3,0.7333333333333333,303.7189299895477,168.8617911904501,48.60583333333334,0.08805710679450043,1.3406658172607422,0.026837729226202166,0.5614474146848649,0.1333333333333333,0.7333333333333334
strategy3_a1.0_b0.5,0.3333333333333333,260.6196278817889,141.88757992678063,3147.52,2.518127639536586,1.666654109954834,1.0,0.8357050269952793,-0.26666666666666666,0.4
strategy5_a1.0_b0.5,0.2,232.55193227483912,133.3858394195969,3151.2533333333336,2.557389128778911,1.656562089920044,1.0,0.4067868333984651,-0.33499999999999996,0.26666666666666666
posonly_global_a1.0_b0.5,0.5333333333333333,289.79877817218073,145.41257921858838,104.23166666666667,0.06784988856300611,1.3380025625228882,0.26354191325389936,0.506914933812496,-0.06666666666666671,0.6
posonly_perstep_a1.0_b0.5,0.7333333333333333,342.4507063111806,172.41854527485273,80.6925,0.1506003536388374,1.3376928567886353,0.026837729226202166,0.28084201086629845,0.1333333333333333,0.7333333333333334
linear_a0.5,0.8,287.56874183147613,166.12923852860027,0.5,0.07084848363408613,1.3379569053649902,0.009220570313398513,0.9009714934164412,0.19999999999999996,0.8
linear_a1.0,0.6666666666666666,272.32257492222925,103.67225972589314,1.0,0.060341917475680906,1.325402855873108,0.06559547883437022,0.8034625743147712,0.06666666666666665,0.7333333333333334
linear_a2.0,0.7333333333333333,288.0323938784252,133.2836167309388,2.0,0.10494809908744693,1.328016996383667,0.026837729226202166,0.5338294217441396,0.1333333333333333,0.8
linear_a5.0,0.5333333333333333,228.55848736638794,90.52584932087412,5.0,0.1779722948050893,1.3219364881515503,0.26354191325389936,0.4067868333984651,-0.06666666666666665,0.6
random_conceptor,0.4,301.24841467163264,211.08869069935545,1548.4266666666667,0.7677129272297543,1.4341565370559692,0.6998500749625187,0.9338864180775845,-0.2,0.4666666666666667
