condition,success_rate,reward_mean,reward_std,intervention_norm,kl_divergence,action_magnitude,fisher_p,mannwhitney_p,ci_low,ci_high
baseline,0.7333333333333333,427.6785919269556,263.9619227735246,,,1.2499959468841553,,,,
strategy3_a0.1_b0.1,0.6666666666666666,409.6438293234093,313.7233925163023,594.0,0.0690878914911315,1.271568775177002,1.0,0.6783024655972324,-0.4,0.2666666666666667
strategy5_a0.1_b0.1,0.8666666666666667,528.0257511110187,339.1291511024621,591.2733333333333,0.07274690708130332,1.284616470336914,0.6513409961685823,0.5614474146848649,-0.13333333333333341,0.4
posonly_global_a0.1_b0.1,0.4,304.2919804421206,250.8330056817944,77.3825,0.030912326604037095,1.2400577068328857,0.13941976380230936,0.15846460599820356,-0.6666666666666667,0.0
posonly_perstep_a0.1_b0.1,0.8666666666666667,455.32572807688496,162.7183071376656,70.90166666666667,0.02318224775886249,1.2535065412521362,0.6513409961685823,0.8034625743147712,-0.13333333333333341,0.4
strategy3_a0.1_b0.3,0.5333333333333333,350.62687304573717,289.00187981533367,1808.24,1.2026839426135536,1.365712285041809,0.4497251374312844,0.3195059648919748,-0.5333333333333333,0.1333333333333333
strategy5_a0.1_b0.3,0.5333333333333333,323.46467929154716,254.87826502098525,1801.5466666666666,1.0215099462196395,1.351104497909546,0.4497251374312844,0.2997583700887151,-0.5333333333333334,0.1333333333333333
posonly_global_a0.1_b0.3,0.7333333333333333,406.8820273672019,236.3002730643312,224.05666666666667,0.028482744985398115,1.2441762685775757,1.0,0.7715511878155722,-0.33333333333333337,0.33333333333333337
posonly_perstep_a0.1_b0.3,0.4,273.17090917595516,265.5338079060813,222.66333333333333,0.13902452654573078,1.2648556232452393,0.13941976380230936,0.05639236422683157,-0.6000000000000001,0.0
strategy3_a0.1_b0.5,0.06666666666666667,328.7689161613308,197.29136980799268,3048.7466666666664,3.1892117349413596,1.5461941957473755,0.00048396854204476713,0.1985058531538877,-0.8683333333333333,-0.4
strategy5_a0.1_b0.5,0.06666666666666667,80.80514222822134,137.89873964211233,3049.7066666666665,2.8930587313935447,1.4966957569122314,0.00048396854204476713,0.0002228932910846752,-0.8683333333333333,-0.39999999999999997
posonly_global_a0.1_b0.5,0.7333333333333333,446.085434411403,321.15749791758486,381.74,0.19861056188381426,1.2472927570343018,1.0,0.8034625743147712,-0.33333333333333326,0.33333333333333326
posonly_perstep_a0.1_b0.5,0.5333333333333333,329.0021530740943,332.0139136671414,364.62666666666667,0.4029164545135324,1.2809308767318726,0.4497251374312844,0.15846460599820356,-0.4683333333333333,0.19999999999999996
