condition,success_rate,reward_mean,reward_std,intervention_norm,kl_divergence,action_magnitude,fisher_p,mannwhitney_p,ci_low,ci_high
baseline,0.2,91.3035486564553,171.57966771314162,,,1.074597716331482,,,,
strategy3_a0.1_b0.1,0.8,477.88423285792487,248.0163263926392,587.28,0.11318645851918364,1.1129976511001587,0.002814330708742636,0.0003609347195741741,0.33333333333333326,0.8666666666666667
strategy5_a0.1_b0.1,0.6666666666666666,371.56242838643567,289.34664918028335,583.9333333333333,0.05762339332949894,1.099250316619873,0.025327687033676133,0.01806662299891238,0.13333333333333336,0.8
posonly_global_a0.1_b0.1,0.13333333333333333,80.57603185578482,191.36219582102976,72.985,0.02606413509078863,1.0631117820739746,1.0,0.7400217511938185,-0.33333333333333337,0.2
posonly_perstep_a0.1_b0.1,0.3333333333333333,202.06325996353596,288.7865250273463,69.3425,0.03213447443668062,1.0625641345977783,0.6816591704147925,0.3614963660708982,-0.2,0.4
strategy3_a0.1_b0.3,0.26666666666666666,214.92970004316166,347.4113708321563,1791.04,2.5521341082692706,1.1507182121276855,1.0,1.0,-0.2,0.33333333333333337
strategy5_a0.1_b0.3,0.5333333333333333,460.78561072818593,616.2727597338519,1779.04,1.616676521457684,1.1376923322677612,0.128135932033983,0.24548500120312422,0.0,0.6666666666666666
posonly_global_a0.1_b0.3,0.4,245.47122641519502,299.5022953001742,214.86,0.09972505517554886,1.061414122581482,0.42698650674662664,0.12486035998214667,-0.1333333333333333,0.4683333333333318
posonly_perstep_a0.1_b0.3,0.2,131.30178858052292,254.20776337738184,216.44,0.3722280673721529,1.07425856590271,1.0,0.3400858902842717,-0.26666666666666666,0.2666666666666667
strategy3_a0.1_b0.5,0.06666666666666667,14.183534845176784,5.3673014511558295,3046.826666666667,6.934792780519602,1.4407821893692017,0.5977011494252875,0.012821684691391543,-0.4,0.06666666666666668
strategy5_a0.1_b0.5,0.0,61.652590777401905,135.20312367509914,3027.4133333333334,6.60872364238555,1.371389389038086,0.22413793103448276,0.15846460599820356,-0.4,0.0
posonly_global_a0.1_b0.5,0.13333333333333333,99.347594658352,237.24694620435793,374.7733333333333,0.3298872359620427,1.0282316207885742,1.0,0.5338294217441396,-0.33333333333333337,0.2
posonly_perstep_a0.1_b0.5,0.26666666666666666,186.6035461376446,350.9228161229244,359.12,0.9013512587097052,1.0645558834075928,1.0,0.24548500120312422,-0.2,0.33333333333333337
