condition,success_rate,reward_mean,reward_std,intervention_norm,kl_divergence,action_magnitude,fisher_p,mannwhitney_p,ci_low,ci_high
baseline,0.7333333333333333,628.7972658741364,522.3059379822952,,,1.4584002494812012,,,,
strategy3_a0.1_b0.1,0.7333333333333333,532.6835482211768,121.17520213507468,581.1266666666667,0.03318569377590966,1.4515310525894165,1.0,0.9669147771731937,-0.33333333333333326,0.33333333333333337
strategy5_a0.1_b0.1,0.8666666666666667,487.87144414201,199.02490817550853,577.3666666666667,0.06292311794621193,1.4582494497299194,0.6513409961685823,0.5897385933186072,-0.13333333333333341,0.4666666666666667
posonly_global_a0.1_b0.1,0.8,483.6032293701366,189.4578894666342,64.63666666666667,0.04611638702634634,1.455580472946167,1.0,0.48073111045562256,-0.20000000000000007,0.4
posonly_perstep_a0.1_b0.1,0.7333333333333333,661.8331273279476,512.8081693129703,61.575833333333335,0.025474445474652274,1.4686545133590698,1.0,0.5614474146848649,-0.33333333333333337,0.2666666666666667
strategy3_a0.1_b0.3,0.4666666666666667,514.8015020364626,603.082210222237,1752.4266666666667,0.7156477328828965,1.462465524673462,0.26354191325389936,0.5614474146848649,-0.6000000000000001,0.06666666666666665
strategy5_a0.1_b0.3,0.4,524.6657501750739,594.1350991090804,1748.6666666666667,0.7556307494579024,1.464383602142334,0.13941976380230936,0.21337370709311831,-0.6666666666666667,0.0
posonly_global_a0.1_b0.3,0.8,512.8511551295538,169.2421518716207,195.86333333333334,0.08021401442515946,1.4680209159851074,1.0,0.8357050269952793,-0.2666666666666667,0.4
posonly_perstep_a0.1_b0.3,0.6,710.2748066495489,736.4327347196022,187.905,0.14698970337347705,1.4550961256027222,0.6998500749625187,0.3614963660708982,-0.4666666666666667,0.19999999999999996
strategy3_a0.1_b0.5,0.6,466.4410945095664,600.4279223949266,2958.72,2.8872790772300485,1.5733381509780884,0.6998500749625187,0.05639236422683157,-0.4666666666666667,0.20000000000000007
strategy5_a0.1_b0.5,0.4,354.11554292416355,600.4491517663,2936.7466666666664,2.9143793160489717,1.5578672885894775,0.13941976380230936,0.0018654646290708888,-0.6666666666666667,0.0
posonly_global_a0.1_b0.5,0.6,541.8745738806521,562.1360618001612,329.29333333333335,0.15081099335024817,1.4587416648864746,0.6998500749625187,0.43064798984807773,-0.4666666666666667,0.20000000000000007
posonly_perstep_a0.1_b0.5,0.4,385.6521347131802,203.15882962825273,317.87666666666667,0.32110261178179483,1.463807463645935,0.13941976380230936,0.03101661143801677,-0.6666666666666667,0.0
strategy3_a0.5_b0.1,0.8666666666666667,524.2252853382917,135.7054837265552,603.28,0.07556881181767562,1.4648120403289795,0.6513409961685823,0.8357050269952793,-0.13333333333333341,0.4
strategy5_a0.5_b0.1,0.6666666666666666,440.80548495515217,203.79049386351357,604.1,0.07043385398608204,1.453057050704956,1.0,0.26275304114766074,-0.4,0.2666666666666667
posonly_global_a0.5_b0.1,0.8666666666666667,822.3093147834244,684.2477863571627,26.67125,0.04062889530835501,1.4733221530914307,0.6513409961685823,0.43064798984807773,-0.13333333333333341,0.4
posonly_perstep_a0.5_b0.1,0.7333333333333333,615.7511773585788,538.8241967874046,23.0925,0.03756637495773288,1.4527060985565186,1.0,0.7715511878155722,-0.33333333333333326,0.33333333333333337
strategy3_a0.5_b0.3,0.4,304.47625455810226,232.58934733127526,1841.12,1.2599094261311763,1.4926866292953491,0.13941976380230936,0.02253107159485839,-0.6666666666666667,0.0
strategy5_a0.5_b0.3,0.7333333333333333,811.1448579981818,861.9548227284259,1836.7466666666667,1.2694634667299027,1.4818642139434814,1.0,0.9009714934164412,-0.33333333333333337,0.33333333333333326
posonly_global_a0.5_b0.3,0.7333333333333333,624.2099202659041,536.0964595784491,79.30166666666666,0.06120627605593841,1.4647876024246216,1.0,0.506914933812496,-0.33333333333333337,0.33333333333333337
posonly_perstep_a0.5_b0.3,0.8666666666666667,517.3379362276177,141.46257183613073,66.74916666666667,0.05647989027642964,1.4478603601455688,0.6513409961685823,0.7089232340537643,-0.13333333333333341,0.4
strategy3_a0.5_b0.5,0.6666666666666666,899.5801481088197,984.2422018959695,3126.133333333333,3.7420489637476653,1.6158831119537354,1.0,0.9669147771731937,-0.4,0.2666666666666666
strategy5_a0.5_b0.5,0.4,416.87508652555533,595.0081290435132,3124.96,3.6621377268787794,1.6038119792938232,0.13941976380230936,0.03101661143801677,-0.6666666666666667,0.0
posonly_global_a0.5_b0.5,0.6666666666666666,612.1324654208112,528.7958547455327,133.225,0.060413006274015246,1.4594908952713013,1.0,0.3614963660708982,-0.4,0.2666666666666667
posonly_perstep_a0.5_b0.5,0.8,540.7765999962799,66.3509835661322,111.45666666666666,0.05562122167206099,1.462476372718811,1.0,0.7400217511938185,-0.2666666666666666,0.33333333333333337
