condition,success_rate,reward_mean,reward_std,intervention_norm,kl_divergence,action_magnitude,fisher_p,mannwhitney_p,ci_low,ci_high
baseline,0.9333333333333333,1447.5054075403652,625.1117921351531,,,1.3518623113632202,,,,
strategy3_a0.1_b0.1,0.8,1371.037554709415,763.2618461352904,595.6533333333333,0.0956101067655899,1.388007402420044,0.5977011494252873,0.8357050269952793,-0.4,0.06666666666666676
strategy5_a0.1_b0.1,0.8,1375.5720752075051,772.2924055933147,592.98,0.05256249563250687,1.3886185884475708,0.5977011494252873,0.8357050269952793,-0.4,0.06666666666666676
posonly_global_a0.1_b0.1,1.0,438.37309055703713,86.27592136356445,85.39375,0.18303225839183274,1.355410099029541,1.0,5.737063008488556e-05,0.0,0.19999999999999996
posonly_perstep_a0.1_b0.1,1.0,367.75228925759836,60.22585403549014,80.16818181818182,0.1775261520788731,1.3615039587020874,1.0,5.737063008488556e-05,0.0,0.19999999999999996
strategy3_a0.1_b0.3,0.4,675.4168309019551,720.840418569164,1790.48,0.6025500049612557,1.459787130355835,0.005197401299350325,0.01614027989360373,-0.8,-0.2666666666666667
strategy5_a0.1_b0.3,0.4,644.0741524093587,636.4166448573528,1786.8533333333332,0.33070637900223177,1.4471420049667358,0.005197401299350325,0.005452139856940547,-0.8,-0.2666666666666666
posonly_global_a0.1_b0.3,0.8666666666666667,1732.7401518047732,833.1675635897075,221.13666666666666,0.09331630841080568,1.3825631141662598,1.0,0.09709106759647709,-0.2666666666666667,0.1333333333333333
posonly_perstep_a0.1_b0.3,0.8,1487.361125244384,849.615558588486,211.44666666666666,0.18497042212076878,1.4020137786865234,0.5977011494252873,0.5897385933186072,-0.33499999999999996,0.06666666666666676
strategy3_a0.1_b0.5,0.0,95.64676496364352,137.23823417601338,3021.76,2.4233173947991578,1.5959635972976685,2.062952012126032e-07,2.7983495853192978e-05,-1.0,-0.8
strategy5_a0.1_b0.5,0.06666666666666667,191.39714296529746,494.3715365588727,3006.9333333333334,1.8667333459879651,1.5737197399139404,2.9139197171280197e-06,0.0001603262273507153,-1.0,-0.6666666666666667
posonly_global_a0.1_b0.5,0.6666666666666666,1205.8949660828737,974.260562477821,375.32,0.2998512549264001,1.3980920314788818,0.16858237547892718,0.7089232340537643,-0.5333333333333333,0.0
posonly_perstep_a0.1_b0.5,0.3333333333333333,524.5267632464563,848.874769641551,355.6333333333333,0.33569076125879704,1.4230290651321411,0.001699150424787606,0.010121802247772722,-0.8666666666666667,-0.33333333333333337
strategy3_a0.5_b0.1,0.8,1469.7775616647764,760.2595052455538,620.8466666666667,0.13328725663891416,1.3785041570663452,0.5977011494252873,0.8357050269952793,-0.4,0.1333333333333333
strategy5_a0.5_b0.1,1.0,899.3081141231759,159.03036414575266,628.6235294117647,0.10748206950875228,1.3644856214523315,1.0,0.004794758682161994,0.0,0.19999999999999996
posonly_global_a0.5_b0.1,0.8,1329.893045073006,798.8266192250111,31.19708333333333,0.08429517567762945,1.3696560859680176,0.5977011494252873,0.9009714934164412,-0.4,0.1333333333333333
posonly_perstep_a0.5_b0.1,0.8666666666666667,1481.2932742678452,780.3499255078871,26.97833333333333,0.03717982150042928,1.3684518337249756,1.0,0.6783024655972324,-0.2666666666666667,0.1333333333333333
strategy3_a0.5_b0.3,0.26666666666666666,536.8759139612688,575.9128863269722,1877.6266666666668,0.9914466260062502,1.481224775314331,0.0004839685420447671,0.0021450570245935504,-0.8683333333333333,-0.4
strategy5_a0.5_b0.3,0.2,504.61019076989317,637.0022988988843,1883.0666666666666,1.1052889092977296,1.4630658626556396,0.00011573160788027037,0.0014040790204992788,-0.9333333333333333,-0.4666666666666667
posonly_global_a0.5_b0.3,0.8666666666666667,1400.5910768227593,822.1279974570915,93.07,0.07314503048407525,1.3799175024032593,1.0,0.9669147771731937,-0.2666666666666667,0.1333333333333333
posonly_perstep_a0.5_b0.3,0.9333333333333333,1701.6389126635183,712.2627884928856,79.38583333333334,0.04529822962392053,1.379187822341919,1.0,0.15846460599820356,-0.19999999999999996,0.19999999999999996
strategy3_a0.5_b0.5,0.13333333333333333,382.47508014050015,571.9153697757132,3192.5866666666666,3.099203843474208,1.6599057912826538,2.1867291328535937e-05,0.0003609347195741741,-1.0,-0.5333333333333334
strategy5_a0.5_b0.5,0.0,56.87097412037743,55.41799784588824,3193.8133333333335,2.9796135827707397,1.659933090209961,2.062952012126032e-07,2.7983495853192978e-05,-1.0,-0.8
posonly_global_a0.5_b0.5,0.9333333333333333,1714.9367721471099,736.7260696953243,148.38166666666666,0.0445795081342515,1.3675686120986938,1.0,0.13538211004560674,-0.19999999999999996,0.19999999999999996
posonly_perstep_a0.5_b0.5,0.9333333333333333,1584.3266502733206,664.611658442464,131.68,0.05071621091463585,1.3716307878494263,1.0,0.4553018964198552,-0.19999999999999996,0.19999999999999996
strategy3_a1.0_b0.1,1.0,583.5201101942423,94.89886511819287,632.0461538461539,0.17557439384090812,1.3676713705062866,1.0,5.737063008488556e-05,0.0,0.19999999999999996
strategy5_a1.0_b0.1,0.9333333333333333,1782.3240586111322,697.1466508012039,624.86,0.09664613767289155,1.3812199831008911,1.0,0.10573920209087935,-0.19999999999999996,0.19999999999999996
posonly_global_a1.0_b0.1,0.8,1285.9543176860598,839.9825992778403,21.785833333333333,0.039099230011421814,1.3730415105819702,0.5977011494252873,0.8357050269952793,-0.33333333333333337,0.06833333333333191
posonly_perstep_a1.0_b0.1,0.8666666666666667,1609.5975003896995,772.1532529677573,19.275833333333335,0.05048434315152926,1.3732202053070068,1.0,0.4067868333984651,-0.2666666666666667,0.1333333333333333
strategy3_a1.0_b0.3,0.13333333333333333,354.36178467089195,418.9274391021431,1889.3866666666668,1.0437629523786942,1.4750739336013794,2.1867291328535937e-05,0.00026216888813650863,-1.0,-0.5983333333333348
strategy5_a1.0_b0.3,0.26666666666666666,363.6914754900991,519.1361890727632,1881.8933333333334,0.8416900352213874,1.4981003999710083,0.0004839685420447671,0.0006709034051003711,-0.8666666666666667,-0.4
posonly_global_a1.0_b0.3,0.9333333333333333,1457.3712482340768,692.571442021766,62.47833333333333,0.034462301842226734,1.3675979375839233,1.0,0.9009714934164412,-0.19999999999999996,0.19999999999999996
posonly_perstep_a1.0_b0.3,0.9333333333333333,1470.580302007264,693.4115647193684,56.4725,0.04366211408783355,1.3678690195083618,1.0,0.8682259903524354,-0.1333333333333333,0.19999999999999996
